[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test create open and close methods-L54-17:19:48] OK: expected true: filename correct
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test create open and close methods-L55-17:19:48] OK: expected true: expect 1 page in new file
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test create open and close methods-L56-17:19:48] OK: expected true: freshly opened file's page position should be 0
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test create open and close methods-L62-17:19:48] OK: expected true: opening non-existing file should return an error.
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test create open and close methods-L64-17:19:48] OK: finished test

created and opened file
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
[/Users/jiehuang/Desktop/CS525/test/test/test_assign1_1.c-test single page content-L88-17:19:48] OK: expected true: expected zero byte in first page of freshly initialized page
